Index,Diagnosis
439,Неизвестный диагноз
440,Хронический верхнечелюстной синусит
441,Хронический синусит неуточненный
442,Киста или мукоцеле носового синуса
443,Смещенная носовая перегородка
444,Другие уточненные болезни носа и носовых синусов
445,Хронический тонзиллит
446,Гипертрофия миндалин с гипертрофией аденоидов
447,Другие хронические болезни миндалин и аденоидов
448,Хроническая болезнь миндалин и аденоидов неуточненная
449,Хронический ларингит
450,"Реакция повышенной чувствительности верхних дыхательных путей, локализация не уточнена"
451,Другие уточненные болезни верхних дыхательных путей
452,Неизвестный диагноз
453,Простой хронический бронхит
454,Слизисто-гнойный хронический бронхит
455,Неизвестный диагноз
456,Хроническая обструктивная легочная болезнь с острой респираторной инфекцией нижних дыхательных путей
457,Другая уточненная хроническая обструктивная легочная болезнь
458,Хроническая обструктивная легочная болезнь неуточненная
459,Астма с преобладанием аллергического компонента
460,Неаллергическая астма
461,Смешанная астма
462,Астма неуточненная
463,Неизвестный диагноз
464,Неизвестный диагноз
465,Другие интерстициальные легочные болезни с упоминанием о фиброзе
466,Другие уточненные интерстициальные легочные болезни
467,Интерстициальная легочная болезнь неуточненная
468,Абсцесс легкого с пневмонией
469,Респираторное нарушение неуточненное
470,Острый гингивит
471,Болезни височно-нижнечелюстного сустава
472,Болезнь челюсти неуточненная
473,Рецидивирующие афты полости рта
474,Неизвестный диагноз
475,Гастроэзофагеальный рефлюкс с эзофагитом
476,Гастроэзофагеальный рефлюкс без эзофагита
477,Неизвестный диагноз
478,Неизвестный диагноз
479,Неизвестный диагноз
480,Неизвестный диагноз
481,Неизвестный диагноз
482,Неизвестный диагноз
483,Неизвестный диагноз
484,Острый геморрагический гастрит
485,Хронический поверхностный гастрит
486,Хронический атрофический гастрит
487,Хронический гастрит неуточненный
488,Другие гастриты
489,Гастрит неуточненный
490,Дуоденит
491,Гастродуоденит неуточненный
492,Неизвестный диагноз
493,Неизвестный диагноз
494,Другие уточненные болезни желудка и двенадцатиперстной кишки
495,Неизвестный диагноз
496,Неизвестный диагноз
497,Неизвестный диагноз
498,Другие формы аппендицита
499,Двусторонняя паховая грыжа с непроходимостью без гангрены
500,Двусторонняя паховая грыжа без непроходимости или гангрены
501,Односторонняя или неуточненная паховая грыжа без непроходимости или гангрены
502,Пупочная грыжа без непроходимости или гангрены
503,Грыжа передней брюшной стенки с непроходимостью без гангрены
504,Неизвестный диагноз
505,Грыжа передней брюшной стенки без непроходимости или гангрены
506,Диафрагмальная грыжа без непроходимости или гангрены
507,Болезнь Крона тонкой кишки
508,Болезнь Крона толстой кишки
509,Болезнь Крона неуточненная
510,Язвенный (хронический) энтероколит
511,Язвенный (хронический) илеоколит
512,Язвенный (хронический) проктит
513,Язвенный (хронический) ректосигмоидит
514,Язвенный колит неуточненный
515,Неизвестный диагноз
516,Неинфекционный гастроэнтерит и колит неуточненный
517,Дивертикулярная болезнь тонкой кишки без прободения или абсцесса
518,Дивертикулярная болезнь толстой кишки с прободением и абсцессом
519,Дивертикулярная болезнь толстой кишки без прободения или абсцесса
520,Неизвестный диагноз
521,Синдром раздраженного кишечника с диареей
522,Синдром раздраженного кишечника без диареи
523,Неизвестный диагноз
524,Запор
525,"Мегаколон, не классифицированный в других рубриках"
526,Другие уточненные функциональные кишечные нарушения
527,Острая трещина заднего прохода
528,Хроническая трещина заднего прохода
529,Полип прямой кишки
530,Энтероптоз
531,Неизвестный диагноз
532,Неизвестный диагноз
533,Брюшинные спайки
534,Хронический гепатит неуточненный
535,Другой и неуточненный цирроз печени
536,Другие уточненные болезни печени
537,Болезнь печени неуточненная
538,Неизвестный диагноз
539,Камни желчного пузыря с другим холециститом
540,Камни желчного протока с холециститом
541,Камни желчного протока без холангита или холецистита
542,Другие формы холелитиаза
543,Острый холецистит
544,Хронический холецистит
545,Другие формы холецистита
546,Холецистит неуточненный
547,Другие уточненные болезни желчного пузыря
548,Холангит
549,Болезнь желчевыводящих путей неуточненная
550,Другие хронические панкреатиты
551,Болезнь органов пищеварения неуточненная
552,Импетиго [вызванное любым организмом] [любой локализации]
553,"Абсцесс кожи, фурункул и карбункул шеи"
554,"Абсцесс кожи, фурункул и карбункул туловища"
555,"Абсцесс кожи, фурункул и карбункул конечности"
556,"Абсцесс кожи, фурункул и карбункул других локализаций"
557,Флегмона пальцев кисти и стопы
558,Неизвестный диагноз
559,"Острый лимфаденит лица, головы и шеи"
560,Острый лимфаденит верхней конечности
561,Пилонидальная киста без абсцесса
562,Пиодермия
563,Другие уточненные местные инфекции кожи и подкожной клетчатки
564,Местная инфекция кожи и подкожной клетчатки неуточненная
565,Приобретенный кератоз фолликулярный
566,Буллезные изменения неуточненные
567,Другие атопические дерматиты
568,Атопический дерматит неуточненный
569,Себорея головы
570,Другой себорейный дерматит
571,Себорейный дерматит неуточненный
572,Пеленочный дерматит
573,Неизвестный диагноз
574,"Аллергический контактный дерматит, вызванный лекарственными средствами при их контакте с кожей"
575,"Аллергический контактный дерматит, вызванный другими химическими веществами"
576,"Аллергический контактный дерматит, вызванный растениями, кроме пищевых"
577,"Аллергический контактный дерматит, вызванный другими веществами"
578,"Аллергический контактный дерматит, причина не уточнена"
579,"Простой раздражительный контактный дерматит, причина неуточнена"
580,"Неуточненный контактный дерматит, вызванный другими химическими веществами"
581,"Неуточненный контактный дерматит, вызванный растениями, кроме пищевых"
582,"Неуточненный контактный дерматит, причина не уточнена"
583,"Дерматит, вызванный неуточненными веществами, принятыми внутрь"
584,Другая почесуха
585,Неизвестный диагноз
586,Монетовидная экзема
587,Инфекционный дерматит
588,Другой уточненный дерматит
589,Дерматит неуточненный
590,Псориаз обыкновенный
591,Псориаз каплевидный
592,Неизвестный диагноз
593,Другой псориаз
594,Псориаз неуточненный
595,Мелкобляшечный парапсориаз
596,Неизвестный диагноз
597,Другой красный плоский лишай
598,Лишай красный плоский неуточненный
599,Аллергическая крапивница
600,Идиопатическая крапивница
601,Контактная крапивница
602,Крапивница неуточненная
603,Эритема узловатая
604,Вросший ноготь
605,Дистрофия ногтя
606,Другие болезни ногтей
607,Алопеция универсальная
608,Другая гнездная алопеция
609,Гнездная алопеция неуточненная
610,Другая андрогенная алопеция
611,Андрогенная алопеция неуточненная
612,Телогенное выпадение волос
613,Рубцующая алопеция неуточненная
614,Угри обыкновенные
615,Другие угри
616,Угри неуточненные
617,Периоральный дерматит
618,Другой вид розацеа
619,Розацеа неуточненного вида
620,Другие фолликулярные кисты кожи и подкожной клетчатки
621,Угри келоидные
622,Другие уточненные болезни фолликулов
623,Себорейный кератоз
624,Приобретенный кератоз [кератодермия] ладонно-подошвенный
625,Ксероз кожи
626,"Некробиоз липоидный, не классифицированный в других рубриках"
627,"Гранулема кожи и подкожной клетчатки, вызванная инородным телом"
628,Локализованная склеродермия [morphea]
629,Локализованное изменение соединительной ткани неуточненное
630,Васкулит с мраморной кожей
631,Другие уточненные болезни кожи и подкожной клетчатки
632,Поражение кожи и подкожной клетчатки неуточненное
633,Неизвестный диагноз
634,Другие реактивные артропатии
635,Реактивная артропатия неуточненная
636,Неизвестный диагноз
637,Другие серопозитивные ревматоидные артриты
638,Серонегативный ревматоидный артрит
639,Воспалительная полиартропатия
640,Ревматоидный артрит неуточненный
641,Юношеский артрит с системным началом
642,Неизвестный диагноз
643,Идиопатическая подагра
644,Подагра неуточненная
645,"Другие уточненные артропатии, не классифицированные в других рубриках"
646,Полиартрит неуточненный
647,"Моноартрит, не классифицированный в других рубриках"
648,Артрит неуточненный
649,Неизвестный диагноз
650,Неизвестный диагноз
651,Первичный генерализованный (остео)артроз
652,Узлы Гебердена (с артропатией)
653,Другой полиартроз
654,Полиартроз неуточненный
655,Первичный коксартроз двусторонний
656,Другой первичный коксартроз
657,Коксартроз в результате дисплазии двусторонний
658,Другие диспластические коксартрозы
659,Другие вторичные коксартрозы двусторонние
660,Другие вторичные коксартрозы
661,Неизвестный диагноз
662,Первичный гонартроз двусторонний
663,Другой первичный гонартроз
664,Посттравматический гонартроз двусторонний
665,Другие посттравматические гонартрозы
666,Другие вторичные гонартрозы двусторонние
667,Другие вторичные гонартрозы
668,Гонартроз неуточненный
669,Неизвестный диагноз
670,Первичный артроз других суставов
671,Посттравматический артроз других суставов
672,Другой вторичный артроз
673,Другой уточненный артроз
674,Артроз неуточненный
675,Неизвестный диагноз
676,Плоская стопа [pes planus] (приобретенная)
677,Хроническая нестабильность коленного сустава
678,Боль в суставе
679,Болезнь сустава неуточненная
680,Узелковый полиартериит
681,Другие уточненные некротизирующие васкулопатии
682,Неизвестный диагноз
683,Лекарственная системная красная волчанка
684,Неизвестный диагноз
685,Системная красная волчанка неуточненная
686,Другие дерматомиозиты
687,Прогрессирующий системный склероз
688,Синдром CR(E)ST
689,Сухой синдром [Шегрена]
690,Другие перекрестные синдромы
691,Болезнь Бехчета
692,Ревматическая полимиалгия
693,"Гипермобильный синдром разболтанности, излишней подвижности"
694,Другие идиопатические сколиозы
695,Неизвестный диагноз
696,Остеохондроз позвоночника у взрослых
697,Остеохондроз позвоночника неуточненный
698,Деформирующая дорсопатия неуточненная
699,Неизвестный диагноз
700,"Сакроилеит, не классифицированный в других рубриках"
701,Другие уточненные воспалительные спондилопатии
702,Воспалительные спондилопатии неуточненные
703,Спинальный стеноз
704,Неизвестный диагноз
705,Поражение межпозвоночного диска шейного отдела с радикулопатией
706,Смещение межпозвоночного диска шейного отдела другого типа
707,Другие поражения межпозвоночного диска шейного отдела
708,Поражения межпозвоночных дисков поясничного и других отделов с радикулопатией
709,Другое уточненное смещение межпозвоночного диска
710,Другая уточненная дегенерация межпозвоночного диска
711,Другое уточненное поражение межпозвоночного диска
712,Неизвестный диагноз
713,Шейно-черепной синдром
714,Шейно-плечевой синдром
715,Дорсопатия неуточненная
716,Неизвестный диагноз
717,Радикулопатия
718,Цервикалгия
719,Ишиас
720,Люмбаго с ишиасом
721,Боль внизу спины
722,Боль в грудном отделе позвоночника
723,Другая дорзалгия
724,Дорзалгия неуточненная
725,Миозит неуточненный
726,Неизвестный диагноз
727,Другие уточненные поражения мышц
728,Неизвестный диагноз
729,Щелкающий палец
730,Другие синовиты и теносиновиты
731,Синовит и теносиновит неуточненный
732,Неизвестный диагноз
733,Другие уточненные поражения синовиальной оболочки и сухожилия
734,Бурсит локтевого отростка
735,Другие бурситы локтевого сустава
736,Другие бурситы коленного сустава
737,"Болезни мягких тканей, связанные с нагрузкой, перегрузкой и давлением неуточненные"
738,Неизвестный диагноз
739,Другая киста синовиальной сумки
740,Другие уточненные бурсопатии
741,Ладонный фасциальный фиброматоз [Дюпюитрена]
742,Неизвестный диагноз
743,Адгезивный капсулит плеча
744,Другие поражения плеча
745,Поражение плеча неуточненное
746,Тендинит пяточного [ахиллова] сухожилия
747,Неизвестный диагноз
748,Латеральный эпикондилит
749,Пяточная шпора
750,Метатарзалгия
751,Миалгия
752,Невралгия и неврит неуточненные
753,Неизвестный диагноз
754,Постменопаузный остеопороз с патологическим переломом
755,Остеопороз с патологическим переломом неуточненный
756,Неизвестный диагноз
757,Постменопаузный остеопороз
758,Остеопороз неуточненный
759,Неизвестный диагноз
760,Неизвестный диагноз
761,Другие уточненные поражения костей
762,Синдром хрящевых реберных соединений [Титце]
763,Приобретенные деформации костно-мышечной системы неуточненные
764,Биомеханическое нарушение неуточненное
765,Неизвестный диагноз
766,Хронический обструктивный пиелонефрит
767,Другие хронические тубулоинтерстициальные нефриты
768,Хронический тубулоинтерстициальный нефрит неуточненный
769,Неизвестный диагноз
770,"Гидронефроз со стриктурой мочеточника, не классифицированный в других рубриках"
771,Неизвестный диагноз
772,Неизвестный диагноз
773,Неизвестный диагноз
774,Камни почки
775,Камни мочеточника
776,Мочевые камни неуточненные
777,Почечная колика неуточненная
778,Неизвестный диагноз
779,Киста почки приобретенная
